"","order","species","adult_body_mass_g","adult_head_body_len_mm","home_range_km2","litter_size","habitat"
"46","Afrosoricida","Neamblysomus julianae",21.99,100.84,NA,0.96,"T"
"47","Afrosoricida","Oryzorictes hova",35.74,103.33,NA,NA,"T"
"48","Afrosoricida","Oryzorictes tetradactylus",35.99,107.5,NA,NA,"T"
"49","Afrosoricida","Potamogale velox",670.99,320,NA,2.5,"T"
"50","Afrosoricida","Setifer setosus",263.22,185,NA,3.24,"T"
"51","Afrosoricida","Tenrec ecaudatus",887.59,327.5,NA,16.89,"T"
"52","Artiodactyla","Addax nasomaculatus",96077.36,NA,NA,1,"T"
"53","Artiodactyla","Aepyceros melampus",52591.69,1420,1.97,0.98,"T"
"54","Artiodactyla","Alcelaphus buselaphus",160937.86,1974.99,2.73,1,"T"
"55","Artiodactyla","Alcelaphus caama",176115.97,NA,NA,NA,"T"
"56","Artiodactyla","Alcelaphus lichtensteinii",168695.66,NA,4.41,0.98,"T"
"57","Artiodactyla","Alces alces",461900.76,2930.47,71.75,1.25,"T"
"58","Artiodactyla","Alces americanus",541460.44,2097.16,NA,1,"T"
"59","Artiodactyla","Ammodorcas clarkei",28049.81,1509.96,NA,1,"T"
"60","Artiodactyla","Ammotragus lervia",94202.22,1449.99,7.06,1.22,"T"
"61","Artiodactyla","Antidorcas marsupialis",33571.24,1055,NA,1,"T"
"62","Artiodactyla","Antilocapra americana",47450.01,1310,8.05,1.93,"T"
"63","Artiodactyla","Antilope cervicapra",36301.1,1250,0.62,1.22,"T"
"64","Artiodactyla","Axis axis",69499.99,NA,0.67,1.01,"T"
"65","Artiodactyla","Axis calamianensis",39812.6,1387.44,NA,2,"T"
"66","Artiodactyla","Axis kuhlii",54999.99,1375,NA,1.22,"T"
"67","Artiodactyla","Axis porcinus",37448.29,NA,0.52,1,"T"
"68","Artiodactyla","Babyrousa babyrussa",92950.09,950,NA,1.73,"T"
"69","Artiodactyla","Babyrousa bolabatuensis",NA,NA,NA,NA,"T"
"70","Artiodactyla","Babyrousa celebensis",NA,NA,NA,NA,"T"
"71","Artiodactyla","Babyrousa togeanensis",NA,NA,NA,NA,"T"
"72","Artiodactyla","Beatragus hunteri",79132.17,1600,NA,1,"T"
"73","Artiodactyla","Bison bison",624577.07,2849.24,47.39,0.98,"T"
"74","Artiodactyla","Bison bonasus",675876.7,2900,7.91,1,"T"
"75","Artiodactyla","Blastocerus dichotomus",112518.53,1720,NA,0.98,"T"
"76","Artiodactyla","Bos frontalis",800143.05,2700,NA,1.22,"T"
"77","Artiodactyla","Bos grunniens",5e+05,NA,NA,1,"T"
"78","Artiodactyla","Bos javanicus",635974.34,2075,NA,1.22,"T"
"79","Artiodactyla","Bos sauveli",791321.76,2175,NA,NA,"T"
"80","Artiodactyla","Bos taurus",618642.42,NA,10.04,NA,"T"
"81","Artiodactyla","Boselaphus tragocamelus",182253.04,2000,NA,1.39,"T"
"82","Artiodactyla","Bubalus bubalis",929500.97,2649.52,3.63,1.5,"T"
"83","Artiodactyla","Bubalus depressicornis",256989.27,1728.58,NA,1,"T"
"84","Artiodactyla","Bubalus mindorensis",254389.74,2199.99,NA,1,"T"
"85","Artiodactyla","Bubalus quarlesi",181718.86,1577.97,NA,1,"T"
"86","Artiodactyla","Budorcas taxicolor",294515.33,1736,NA,1.22,"T"
"87","Artiodactyla","Camelus bactrianus",554515.91,NA,NA,1.39,"T"
"88","Artiodactyla","Camelus dromedarius",492714.47,NA,196.32,0.98,"T"
"89","Artiodactyla","Capra caucasica",58149.52,NA,NA,1.09,"T"
"90","Artiodactyla","Capra falconeri",54303.37,1590,NA,1.73,"T"
"91","Artiodactyla","Capra hircus",47386.47,NA,98.3,1.45,"T"
"92","Artiodactyla","Capra ibex",69546.83,NA,NA,1.11,"T"
"93","Artiodactyla","Capra nubiana",47763.72,NA,NA,1,"T"
"94","Artiodactyla","Capra pyrenaica",60898.77,1200,0.64,1.5,"T"
"95","Artiodactyla","Capra sibirica",130000,NA,NA,NA,"T"
"96","Artiodactyla","Capra walie",100144.02,NA,NA,1,"T"
"97","Artiodactyla","Capreolus capreolus",22502.01,NA,0.52,1.79,"T"
"98","Artiodactyla","Capreolus pygargus",41371.03,1320,0.99,2,"T"
"99","Artiodactyla","Capricornis crispus",43030.64,NA,0.11,1,"T"
"100","Artiodactyla","Capricornis milneedwardsii",NA,NA,NA,NA,"T"
"101","Artiodactyla","Capricornis rubidus",NA,NA,NA,NA,"T"
"102","Artiodactyla","Capricornis sumatraensis",110942.22,1449.99,NA,1.22,"T"
"103","Artiodactyla","Capricornis swinhoei",NA,NA,NA,NA,"T"
"104","Artiodactyla","Capricornis thar",NA,NA,NA,NA,"T"
"105","Artiodactyla","Catagonus wagneri",35566.4,1025.93,7,2.47,"T"
"106","Artiodactyla","Cephalophus adersi",9249.95,690,NA,1,"T"
"107","Artiodactyla","Cephalophus brookei",NA,NA,NA,NA,"T"
"108","Artiodactyla","Cephalophus callipygus",19079.23,1014.28,0.32,NA,"T"
"109","Artiodactyla","Cephalophus dorsalis",20000,849.99,0.27,1,"T"
"110","Artiodactyla","Cephalophus jentinki",68489.54,1349.99,NA,1,"T"
"111","Artiodactyla","Cephalophus leucogaster",13208.69,939.32,NA,1,"T"
"112","Artiodactyla","Cephalophus natalensis",12724.51,786.14,0.06,1,"T"
"113","Artiodactyla","Cephalophus niger",19094.32,1041.8,NA,1,"T"
"114","Artiodactyla","Cephalophus nigrifrons",14676.33,944.21,NA,NA,"T"
"115","Artiodactyla","Cephalophus ogilbyi",18386.42,1000,0.07,1,"T"
"116","Artiodactyla","Cephalophus rufilatus",12114.57,650,NA,1,"T"
"117","Artiodactyla","Cephalophus silvicultor",62006.6,1324.76,NA,1,"T"
"118","Artiodactyla","Cephalophus spadix",56857.02,1174.48,NA,NA,"T"
"119","Artiodactyla","Cephalophus weynsi",NA,NA,NA,NA,"T"
"120","Artiodactyla","Cephalophus zebra",15654.75,874.99,NA,1,"T"
"121","Artiodactyla","Cervus elaphus",240867.13,2136.72,58.42,1.09,"T"
"122","Artiodactyla","Cervus nippon",52999.99,1200.51,1.43,1,"T"
"123","Artiodactyla","Connochaetes gnou",156547.53,1821.79,0.95,1,"T"
"124","Artiodactyla","Connochaetes taurinus",198619.68,2014.99,NA,0.98,"T"
"125","Artiodactyla","Dama dama",57224.61,NA,0.71,1,"T"
"126","Artiodactyla","Damaliscus korrigum",127194.87,NA,NA,NA,"T"
"127","Artiodactyla","Damaliscus lunatus",136000.33,1700,NA,0.98,"T"
"128","Artiodactyla","Damaliscus pygargus",77784.55,NA,NA,1.41,"T"
"129","Artiodactyla","Damaliscus superstes",NA,NA,NA,NA,"T"
"130","Artiodactyla","Dorcatragus megalotis",10918.12,779.98,NA,1,"T"
"131","Artiodactyla","Elaphodus cephalophus",23087.87,NA,NA,1,"T"
"132","Artiodactyla","Elaphurus davidianus",165989.17,NA,NA,1.22,"T"
"133","Artiodactyla","Eudorcas rufifrons",26999.77,885,NA,1,"T"
"134","Artiodactyla","Eudorcas rufina",39999.99,NA,NA,NA,"T"
"135","Artiodactyla","Eudorcas thomsonii",22907.43,885,NA,1,"T"
"136","Artiodactyla","Gazella arabica",24124.67,1000,NA,1.5,"T"
"137","Artiodactyla","Gazella bennettii",18916.67,NA,NA,NA,"T"
"138","Artiodactyla","Gazella cuvieri",NA,NA,NA,NA,"T"
"139","Artiodactyla","Gazella dorcas",15635.95,965.68,15.52,1.22,"T"
"140","Artiodactyla","Gazella erlangeri",NA,NA,NA,NA,"T"
"141","Artiodactyla","Gazella gazella",21306.83,1012.85,1.46,1.22,"T"
"142","Artiodactyla","Gazella leptoceros",24645.75,1032.67,NA,1,"T"
"143","Artiodactyla","Gazella saudiya",16000,NA,NA,NA,"T"
"144","Artiodactyla","Gazella spekei",20000,885,NA,1,"T"
"145","Artiodactyla","Gazella subgutturosa",26981.37,957.35,NA,1.39,"T"
"146","Artiodactyla","Giraffa camelopardalis",964654.73,4177.03,81.52,1.29,"T"
"147","Artiodactyla","Hemitragus hylocrius",74186.41,1385,NA,1.41,"T"
"148","Artiodactyla","Hemitragus jayakari",22210.18,1075,NA,1,"T"
"149","Artiodactyla","Hemitragus jemlahicus",68616.43,NA,NA,1.01,"T"
"150","Artiodactyla","Hexaprotodon liberiensis",235001.16,1600,0.72,1,"T"
"151","Artiodactyla","Hippocamelus antisensis",68599.35,1550,NA,1,"T"
"152","Artiodactyla","Hippocamelus bisulcus",69240.81,1550,0.86,1,"T"
"153","Artiodactyla","Hippopotamus amphibius",1536310.4,NA,NA,1,"T"
"154","Artiodactyla","Hippotragus equinus",264173.96,1150,NA,0.98,"T"
"155","Artiodactyla","Hippotragus leucophaeus",149999.99,NA,NA,NA,"T"
"156","Artiodactyla","Hippotragus niger",236405.9,2035,NA,1,"T"
"157","Artiodactyla","Hydropotes inermis",12760.04,NA,NA,3,"T"
"158","Artiodactyla","Hyemoschus aquaticus",10850,750,0.2,1.22,"T"
"159","Artiodactyla","Hylochoerus meinertzhageni",198130.47,2028.75,NA,4,"T"
"160","Artiodactyla","Kobus ellipsiprymnus",204393.48,NA,1.28,1,"T"
"161","Artiodactyla","Kobus kob",80035.21,1700,99.57,1,"T"
"162","Artiodactyla","Kobus leche",88645.04,NA,NA,1,"T"
"163","Artiodactyla","Kobus megaceros",85805.93,NA,NA,NA,"T"
"164","Artiodactyla","Kobus vardonii",71462.72,1340,NA,1,"T"
"165","Artiodactyla","Lama glama",78322.67,1595.1,NA,1,"T"
"166","Artiodactyla","Litocranius walleri",38804.37,1500,NA,1,"T"
"167","Artiodactyla","Madoqua guentheri",4623.7,612.07,0.03,0.98,"T"
"168","Artiodactyla","Madoqua kirkii",4833.4,654.27,NA,0.98,"T"
"169","Artiodactyla","Madoqua piacentinii",2500,NA,NA,1,"T"
"170","Artiodactyla","Madoqua saltiana",3424.47,595,NA,1,"T"
"171","Artiodactyla","Mazama americana",20546.86,NA,NA,1.22,"T"
"172","Artiodactyla","Mazama bororo",NA,NA,NA,NA,"T"
"173","Artiodactyla","Mazama bricenii",16499.85,NA,NA,NA,"T"
"174","Artiodactyla","Mazama chunyi",16071.74,NA,NA,1.5,"T"
"175","Artiodactyla","Mazama gouazoubira",16633.17,918.25,NA,1,"T"
"176","Artiodactyla","Mazama nana",16499.85,NA,NA,NA,"T"
"177","Artiodactyla","Mazama pandora",NA,NA,NA,NA,"T"
"178","Artiodactyla","Mazama rufina",21099.25,NA,NA,1.22,"T"
"179","Artiodactyla","Mazama temama",NA,NA,NA,NA,"T"
"180","Artiodactyla","Moschiola meminna",3130.95,540,NA,1.5,"T"
"181","Artiodactyla","Moschus anhuiensis",NA,NA,NA,NA,"T"
"182","Artiodactyla","Moschus berezovskii",12477.41,899.99,0.13,1.2,"T"
"183","Artiodactyla","Moschus chrysogaster",13697.9,899.99,0.13,1.2,"T"
"184","Artiodactyla","Moschus cupreus",NA,NA,NA,NA,"T"
"185","Artiodactyla","Moschus fuscus",13697.9,899.99,0.13,NA,"T"
"186","Artiodactyla","Moschus leucogaster",NA,NA,NA,NA,"T"
"187","Artiodactyla","Moschus moschiferus",13315.57,899.99,0.13,1.74,"T"
"188","Artiodactyla","Muntiacus atherodes",18939.1,994.99,NA,NA,"T"
"189","Artiodactyla","Muntiacus crinifrons",18590.01,NA,NA,1,"T"
"190","Artiodactyla","Muntiacus feae",21999.99,NA,NA,1.22,"T"
"191","Artiodactyla","Muntiacus gongshanensis",18590.01,NA,NA,NA,"T"
"192","Artiodactyla","Muntiacus muntjak",17611.59,994.99,NA,1,"T"
"193","Artiodactyla","Muntiacus puhoatensis",NA,NA,NA,NA,"T"
"194","Artiodactyla","Muntiacus putaoensis",NA,NA,NA,NA,"T"
"195","Artiodactyla","Muntiacus reevesi",13499.94,NA,0.12,0.98,"T"
"196","Artiodactyla","Muntiacus rooseveltorum",10762.64,NA,NA,1,"T"
"197","Artiodactyla","Muntiacus truongsonensis",NA,NA,NA,NA,"T"
"198","Artiodactyla","Muntiacus vuquangensis",36690.82,NA,NA,NA,"T"
"199","Artiodactyla","Naemorhedus baileyi",28863.45,1040,NA,1.5,"T"
"200","Artiodactyla","Naemorhedus caudatus",26999.99,NA,NA,NA,"T"
"201","Artiodactyla","Naemorhedus goral",28796.51,1060,NA,1,"T"
"202","Artiodactyla","Naemorhedus griseus",NA,NA,NA,NA,"T"
"203","Artiodactyla","Nanger dama",71424.81,1462.78,NA,1,"T"
"204","Artiodactyla","Nanger granti",55464.46,1529.99,NA,1,"T"
"205","Artiodactyla","Nanger soemmerringii",41582.93,1360,NA,1,"T"
"206","Artiodactyla","Neotragus batesi",2967.45,540,NA,1,"T"
"207","Artiodactyla","Neotragus moschatus",5639.01,599.99,NA,1,"T"
"208","Artiodactyla","Neotragus pygmaeus",3913.68,499.99,NA,1,"T"
"209","Artiodactyla","Odocoileus hemionus",84560.57,1516.5,2.01,1.61,"T"
"210","Artiodactyla","Odocoileus virginianus",75901.25,1513.69,1.99,1.57,"T"
"211","Artiodactyla","Okapia johnstoni",230001.14,2000,4.63,0.98,"T"
"212","Artiodactyla","Oreamnos americanus",72105.4,1297.33,18.17,1.4,"T"
"213","Artiodactyla","Oreotragus oreotragus",13486.55,824.99,NA,0.98,"T"
"214","Artiodactyla","Oryx beisa",200576.52,NA,NA,NA,"T"
"215","Artiodactyla","Oryx dammah",199798.95,1910,NA,1,"T"
"216","Artiodactyla","Oryx gazella",188404.45,1615,NA,1,"T"
"217","Artiodactyla","Oryx leucoryx",75788.24,NA,NA,1,"T"
"218","Artiodactyla","Ourebia ourebi",17186.09,1160,NA,0.98,"T"
"219","Artiodactyla","Ovibos moschatus",312500,NA,NA,1.01,"T"
"220","Artiodactyla","Ovis ammon",113998.72,1585,4.59,1.22,"T"
"221","Artiodactyla","Ovis aries",39097.89,1297.23,NA,1.19,"T"
"222","Artiodactyla","Ovis canadensis",74644.87,1565.5,18.94,1.16,"T"
"223","Artiodactyla","Ovis dalli",70194.13,1415.02,10.15,1.22,"T"
"224","Artiodactyla","Ovis nivicola",90000,NA,NA,1,"T"
"225","Artiodactyla","Ozotoceros bezoarticus",34620.4,1224.74,6.16,1,"T"
"226","Artiodactyla","Pantholops hodgsonii",32733.12,NA,NA,1,"T"
"227","Artiodactyla","Pecari tajacu",21133.69,889.34,1.37,1.56,"T"
"228","Artiodactyla","Pelea capreolus",22731.33,NA,NA,1,"T"
"229","Artiodactyla","Phacochoerus aethiopicus",75607.52,NA,1.35,3.2,"T"
"230","Artiodactyla","Phacochoerus africanus",82499.99,1355.54,1.55,NA,"T"
"231","Artiodactyla","Philantomba maxwellii",8557.69,845.23,NA,1,"T"
"232","Artiodactyla","Philantomba monticola",4896.05,692.3,NA,0.98,"T"
"233","Artiodactyla","Potamochoerus larvatus",69063.79,NA,4.47,2.73,"T"
"234","Artiodactyla","Potamochoerus porcus",70000.31,1369.3,NA,3,"T"
"235","Artiodactyla","Procapra gutturosa",28274.27,1243.28,NA,1.41,"T"
"236","Artiodactyla","Procapra picticaudata",23197.67,980,NA,1,"T"
"237","Artiodactyla","Procapra przewalskii",27499.99,NA,NA,NA,"T"
"238","Artiodactyla","Przewalskium albirostris",161681.9,NA,NA,1,"T"
"239","Artiodactyla","Pseudois nayaur",52334.57,1299.99,NA,1.22,"T"
"240","Artiodactyla","Pseudois schaeferi",29249.99,NA,NA,NA,"T"
"241","Artiodactyla","Pseudoryx nghetinhensis",97842.2,1750,NA,NA,"T"
"242","Artiodactyla","Pudu mephistophiles",9599.96,NA,NA,1,"T"
"243","Artiodactyla","Pudu puda",9642.62,NA,0.17,1.22,"T"
"244","Artiodactyla","Rangifer tarandus",109088.5,2224.35,2771.22,2,"T"
"245","Artiodactyla","Raphicerus campestris",11661.53,824.99,0.43,0.98,"T"
"246","Artiodactyla","Raphicerus melanotis",10503.14,NA,NA,NA,"T"
"247","Artiodactyla","Raphicerus sharpei",9396.9,679.99,NA,1,"T"
"248","Artiodactyla","Redunca arundinum",58059.24,1505,NA,0.98,"T"
"249","Artiodactyla","Redunca fulvorufula",29352.66,1230,0.07,NA,"T"
"250","Artiodactyla","Redunca redunca",43288.95,1150,NA,1,"T"
"251","Artiodactyla","Rucervus duvaucelii",171223.86,1500,14.11,1,"T"
"252","Artiodactyla","Rucervus eldii",95471.61,1650,NA,1.01,"T"
"253","Artiodactyla","Rucervus schomburgki",107626.42,NA,NA,NA,"T"
"254","Artiodactyla","Rupicapra pyrenaica",29999.99,NA,NA,NA,"T"
"255","Artiodactyla","Rupicapra rupicapra",33266.35,NA,2.65,1,"T"
"256","Artiodactyla","Rusa alfredi",46475.04,NA,NA,NA,"T"
"257","Artiodactyla","Rusa marianna",49457.61,1255,NA,NA,"T"
"258","Artiodactyla","Rusa timorensis",66375.5,1634.99,NA,1,"T"
"259","Artiodactyla","Rusa unicolor",177522.9,2040,NA,1,"T"
"260","Artiodactyla","Saiga borealis",NA,NA,NA,NA,"T"
"261","Artiodactyla","Saiga tatarica",37734.01,1160,NA,1.5,"T"
"262","Artiodactyla","Sus ahoenobarbus",NA,NA,NA,NA,"T"
"263","Artiodactyla","Sus barbatus",135805.95,1349.99,NA,6.59,"T"
"264","Artiodactyla","Sus bucculentus",NA,NA,NA,NA,"T"
"265","Artiodactyla","Sus cebifrons",190792.3,1349.99,NA,4.58,"T"
"266","Artiodactyla","Sus celebensis",53813.21,NA,NA,3.24,"T"
"267","Artiodactyla","Sus oliveri",NA,NA,NA,NA,"T"
"268","Artiodactyla","Sus philippensis",190792.3,1349.99,NA,6.24,"T"
"269","Artiodactyla","Sus salvanius",7974.13,599.66,0.15,3.66,"T"
"270","Artiodactyla","Sus scrofa",84471.54,1349.99,1.18,4.52,"T"
"271","Artiodactyla","Sus verrucosus",89406.23,1250,NA,5.47,"T"
"272","Artiodactyla","Sylvicapra grimmia",15639.15,960.71,NA,0.98,"T"
"273","Artiodactyla","Syncerus caffer",592665.98,2525.86,63.73,1.08,"T"
"274","Artiodactyla","Taurotragus derbianus",646024.25,2522.02,NA,NA,"T"
"275","Artiodactyla","Taurotragus oryx",562592.69,2656.78,195.15,1,"T"
"276","Artiodactyla","Tayassu pecari",31798.71,1110,40.97,2,"T"
"277","Artiodactyla","Tetracerus quadricornis",19282.12,1000,NA,1.65,"T"
"278","Artiodactyla","Tragelaphus angasii",87616.76,1935.86,1.63,1,"T"
"279","Artiodactyla","Tragelaphus buxtoni",215000.75,2249.44,NA,1,"T"
"280","Artiodactyla","Tragelaphus eurycerus",270998.37,2274.99,NA,1,"T"
"281","Artiodactyla","Tragelaphus imberbis",94320.39,1675,NA,1,"T"
"282","Artiodactyla","Tragelaphus scriptus",43250.39,1247.1,0.02,1,"T"
"283","Artiodactyla","Tragelaphus spekii",75554.25,1520.84,NA,1,"T"
"284","Artiodactyla","Tragelaphus strepsiceros",206056.41,2199.99,835.1,1,"T"
"285","Artiodactyla","Tragulus javanicus",1889.93,514.29,NA,0.98,"T"
"286","Artiodactyla","Tragulus kanchil",NA,NA,NA,NA,"T"
"287","Artiodactyla","Tragulus napu",5273.67,562.36,NA,0.96,"T"
"288","Artiodactyla","Tragulus nigricans",NA,NA,NA,NA,"T"
"289","Artiodactyla","Tragulus versicolor",NA,NA,NA,NA,"T"
"290","Artiodactyla","Tragulus williamsoni",NA,NA,NA,NA,"T"
"291","Artiodactyla","Vicugna vicugna",47499.61,1575,0.12,1,"T"
"292","Carnivora","Acinonyx jubatus",50577.92,1480.43,88.27,3.28,"T"
"293","Carnivora","Ailuropoda melanoleuca",117999.99,1345.98,3.55,1.62,"T"
"294","Carnivora","Ailurus fulgens",5170.08,582.32,1.43,1.7,"T"
"295","Carnivora","Aonyx capensis",19322.22,815.2,99.74,2.62,"T"
"296","Carnivora","Aonyx cinerea",3527.59,516.47,NA,1.47,"T"
"297","Carnivora","Arctictis binturong",12999.99,785.15,NA,2.5,"T"
"298","Carnivora","Arctocephalus australis",67979.43,1647.58,NA,1,"M"
"299","Carnivora","Arctocephalus forsteri",101249.99,1701.17,NA,1,"M"
"300","Carnivora","Arctocephalus galapagoensis",39448.04,1352.21,NA,1,"M"
"301","Carnivora","Arctocephalus gazella",96599.99,1568.56,NA,1,"M"
"302","Carnivora","Arctocephalus philippii",94999.99,1694.94,NA,1,"M"
"303","Carnivora","Arctocephalus pusillus",178500,1899.33,NA,1,"M"
"304","Carnivora","Arctocephalus townsendi",101063.71,1704.41,NA,1,"M"
"305","Carnivora","Arctocephalus tropicalis",92222.55,1620.16,NA,1.4,"M"
"306","Carnivora","Arctogalidia trivirgata",2323.79,526.9,NA,2.79,"M"
"307","Carnivora","Arctonyx collaris",8166.52,690.22,NA,3,"T"
"308","Carnivora","Atelocynus microtis",8363.22,831.01,NA,NA,"T"
"309","Carnivora","Atilax paludinosus",3600.16,499.01,1.73,2,"T"
"310","Carnivora","Bassaricyon alleni",NA,NA,NA,NA,"T"
"311","Carnivora","Bassaricyon beddardi",1235.01,NA,NA,NA,"T"
"312","Carnivora","Bassaricyon gabbii",1250,411.27,NA,1,"T"
"313","Carnivora","Bassaricyon lasius",1200,NA,NA,NA,"T"
"314","Carnivora","Bassaricyon pauli",1200,NA,NA,NA,"T"
"315","Carnivora","Bassariscus astutus",1010.37,338.98,0.74,3,"T"
"316","Carnivora","Bassariscus sumichrasti",906,423.73,NA,2,"T"
"317","Carnivora","Bdeogale crassicauda",1722.13,444.53,NA,0.96,"T"
"318","Carnivora","Bdeogale jacksoni",2500,NA,NA,NA,"T"
"319","Carnivora","Bdeogale nigripes",2623.01,611.37,NA,1,"T"
"320","Carnivora","Callorhinus ursinus",55464.82,1734.82,NA,1.04,"M"
"321","Carnivora","Canis adustus",10392.49,745.32,1.01,4.5,"T"
"322","Carnivora","Canis aureus",9658.7,827.53,2.95,3.74,"T"
"323","Carnivora","Canis latrans",11989.1,872.39,18.88,5.72,"T"
"324","Carnivora","Canis lupus",31756.51,1055,159.86,4.98,"T"
"325","Carnivora","Canis mesomelas",8247.3,707.27,11.93,3.89,"T"
"326","Carnivora","Canis simensis",14361.86,938.19,4.2,NA,"T"
"327","Carnivora","Caracal caracal",11964.38,739.28,293.94,2.3,"T"
"328","Carnivora","Catopuma badia",3429.52,548.4,NA,NA,"T"
"329","Carnivora","Catopuma temminckii",7726.46,887.35,NA,1.5,"T"
"330","Carnivora","Cerdocyon thous",5741.66,648.06,1.41,3.09,"T"
"331","Carnivora","Chrotogale owstoni",3267.71,570.29,NA,NA,"T"
"332","Carnivora","Chrysocyon brachyurus",23325,1245.72,21.36,2,"T"
"333","Carnivora","Civettictis civetta",12075.58,790.14,NA,2.31,"T"
"334","Carnivora","Conepatus chinga",NA,NA,NA,NA,"T"
"335","Carnivora","Conepatus humboldtii",1097.61,353.19,0.1,3.49,"T"
"336","Carnivora","Conepatus leuconotus",3293.91,421.41,NA,3.6,"T"
"337","Carnivora","Conepatus semistriatus",1997.34,NA,0.27,3.49,"T"
"338","Carnivora","Crocuta crocuta",63369.98,1300.11,21.93,1.91,"T"
"339","Carnivora","Crossarchus alexandri",1503.4,448.99,NA,4,"T"
"340","Carnivora","Crossarchus ansorgei",700,325.52,NA,NA,"T"
"341","Carnivora","Crossarchus obscurus",1395.09,338.98,NA,4.29,"T"
"342","Carnivora","Crossarchus platycephalus",NA,NA,NA,NA,"T"
"343","Carnivora","Cryptoprocta ferox",9500,726.04,0.75,2.98,"T"
"344","Carnivora","Cuon alpinus",15800,987.74,33.64,4.3,"T"
"345","Carnivora","Cynictis penicillata",694.41,291.87,1.89,2.15,"T"
"346","Carnivora","Cynogale bennettii",4246.57,624.54,NA,2.3,"T"
"347","Carnivora","Cystophora cristata",278896.81,2323.06,NA,1,"M"
"348","Carnivora","Diplogale hosei",NA,599.13,NA,NA,"T"
"349","Carnivora","Dologale dybowskii",361.92,289.15,NA,4,"T"
"350","Carnivora","Dusicyon australis",NA,957.14,NA,NA,"T"
"351","Carnivora","Eira barbara",4134.99,612.64,11.4,2.14,"T"
"352","Carnivora","Enhydra lutris",27410.93,1435.71,3.43,0.96,"M"
"353","Carnivora","Erignathus barbatus",279999.99,2293.15,NA,1,"M"
